date,teamA,teamB,match_type,venue_type,teamA_form_last5,teamB_form_last5,teamA_avg_goals_scored,teamA_avg_goals_conceded,teamB_avg_goals_scored,teamB_avg_goals_conceded,teamA_elo,teamB_elo,diff_elo,diff_form_last5,diff_avg_goals_scored,diff_avg_goals_conceded,result
2006-02-06,Oman,Singapore,friendly,true,3.000,13.000,1.200,1.800,2.000,0.800,1638.703,1463.426,175.278,-10.000,-0.800,1.000,teamA_win
2006-02-07,Syria,Palestine,friendly,false,6.000,0.000,1.600,1.800,0.200,3.000,1580.587,1355.312,225.275,6.000,1.400,-1.200,teamA_win
2006-02-07,Kuwait,Jordan,friendly,false,3.000,3.000,1.000,1.400,0.400,1.000,1582.406,1600.130,-17.724,0.000,0.600,0.400,teamA_win
2006-02-07,Egypt,Senegal,continental_championship,false,10.000,7.000,2.200,0.800,1.200,1.000,1762.708,1720.170,42.539,3.000,1.000,-0.200,teamA_win
2006-02-07,Ivory Coast,Nigeria,continental_championship,true,10.000,10.000,1.400,1.000,1.200,1.000,1733.638,1796.811,-63.173,0.000,0.200,0.000,teamA_win
2006-02-09,Nigeria,Senegal,continental_championship,true,10.000,6.000,1.200,0.600,1.400,1.400,1770.264,1700.411,69.854,4.000,-0.200,-0.800,teamA_win
2006-02-10,United States,Japan,friendly,false,8.000,10.000,1.600,0.800,2.000,1.600,1840.871,1845.217,-4.347,-2.000,-0.400,-0.800,teamA_win
2006-02-10,Egypt,Ivory Coast,continental_championship,false,13.000,10.000,2.400,0.600,1.200,1.000,1782.467,1760.185,22.282,3.000,1.200,-0.400,draw
2006-02-11,Costa Rica,South Korea,friendly,true,9.000,10.000,2.200,1.400,1.200,0.400,1714.407,1735.556,-21.149,-1.000,1.000,1.000,teamA_win
2006-02-12,China,Honduras,friendly,false,5.000,6.000,1.000,1.200,1.800,2.000,1700.182,1691.002,9.180,-1.000,-0.800,-0.800,teamB_win
2006-02-13,Oman,Iraq,friendly,false,6.000,11.000,1.200,1.400,2.600,0.600,1642.711,1625.870,16.841,-5.000,-1.400,0.800,teamA_win
2006-02-14,Saudi Arabia,Syria,friendly,false,3.000,9.000,0.800,1.400,2.200,1.200,1748.683,1583.807,164.876,-6.000,-1.400,0.200,draw
2006-02-14,Jordan,Kazakhstan,friendly,false,2.000,1.000,0.600,1.400,0.800,1.600,1592.248,1373.169,219.079,1.000,-0.200,-0.200,teamA_win
2006-02-14,Qatar,Tajikistan,friendly,false,7.000,3.000,0.600,1.600,0.800,3.800,1619.574,1476.384,143.190,4.000,-0.200,-2.200,teamA_win
2006-02-15,South Korea,Mexico,friendly,true,7.000,9.000,0.800,0.600,1.600,1.400,1727.600,1817.350,-89.750,-2.000,-0.800,-0.800,teamA_win
2006-02-15,Hong Kong,Singapore,friendly,false,9.000,10.000,5.600,1.400,1.600,0.800,1399.915,1459.418,-59.503,-1.000,4.000,0.600,draw
2006-02-16,Thailand,Iraq,friendly,false,5.000,10.000,1.000,1.800,2.600,0.800,1465.160,1618.733,-153.573,-5.000,-1.600,1.000,teamA_win
2006-02-16,Bahrain,Palestine,friendly,false,4.000,0.000,1.200,1.400,0.200,3.000,1591.418,1352.091,239.327,4.000,1.000,-1.600,teamB_win
2006-02-18,Japan,Finland,friendly,false,7.000,2.000,2.000,2.000,0.600,1.600,1837.624,1575.601,262.022,5.000,1.400,0.400,teamA_win
2006-02-18,Hong Kong,India,friendly,false,7.000,13.000,2.800,1.600,1.800,0.400,1401.187,1409.246,-8.059,-6.000,1.000,1.200,draw
2006-02-18,Palestine,Pakistan,friendly,true,3.000,5.000,0.600,2.400,0.200,0.400,1364.070,1179.530,184.541,-2.000,0.400,2.000,teamA_win
2006-02-19,New Zealand,Malaysia,friendly,false,9.000,4.000,3.400,1.000,0.800,1.400,1655.218,1382.955,272.263,5.000,2.600,-0.400,teamA_win
2006-02-19,United States,Guatemala,friendly,false,11.000,4.000,2.200,0.600,1.600,2.200,1848.464,1618.638,229.827,7.000,0.600,-1.600,teamA_win
2006-02-22,Japan,India,continental_qualifier,false,7.000,11.000,1.400,1.200,1.800,0.600,1840.341,1409.073,431.269,-4.000,-0.400,0.600,teamA_win
2006-02-22,Bahrain,Australia,continental_qualifier,false,3.000,12.000,1.000,1.600,3.000,0.400,1579.439,1814.470,-235.031,-9.000,-2.000,1.200,teamB_win
2006-02-22,China,Palestine,continental_qualifier,false,4.000,6.000,0.800,1.200,1.000,1.800,1692.484,1367.923,324.560,-2.000,-0.200,-0.600,teamA_win
2006-02-22,Lebanon,Kuwait,continental_qualifier,false,5.000,5.000,1.000,1.600,1.200,1.400,1520.425,1590.288,-69.863,0.000,-0.200,0.200,draw
2006-02-22,Iran,Taiwan,continental_qualifier,false,9.000,4.000,1.600,0.800,2.000,2.600,1828.794,1207.516,621.278,5.000,-0.400,-1.800,teamA_win
2006-02-22,Syria,South Korea,continental_qualifier,false,7.000,10.000,1.800,1.200,1.000,0.400,1587.121,1736.996,-149.874,-3.000,0.800,0.800,teamB_win
2006-02-22,Jordan,Pakistan,continental_qualifier,false,5.000,2.000,0.600,0.800,0.000,1.000,1595.560,1175.677,419.883,3.000,0.600,-0.200,teamA_win
2006-02-22,Hong Kong,Qatar,continental_qualifier,false,5.000,10.000,2.200,2.000,1.000,0.600,1401.361,1624.147,-222.786,-5.000,1.200,1.400,teamB_win
2006-02-22,Singapore,Iraq,continental_qualifier,false,8.000,7.000,1.400,1.000,2.400,1.600,1458.146,1608.118,-149.972,1.000,-1.000,-0.600,teamA_win
2006-02-22,Yemen,Saudi Arabia,continental_qualifier,false,3.000,4.000,0.600,2.200,1.000,1.200,1409.646,1745.369,-335.723,-1.000,-0.400,1.000,teamB_win
2006-02-22,United Arab Emirates,Oman,continental_qualifier,false,8.000,8.000,1.400,2.200,1.000,1.000,1557.652,1649.848,-92.196,0.000,0.400,1.200,teamA_win
2006-02-22,Uzbekistan,Bangladesh,continental_qualifier,false,8.000,8.000,1.000,1.200,0.600,0.600,1673.374,1334.018,339.356,0.000,0.400,0.600,teamA_win
2006-02-23,New Zealand,Malaysia,friendly,false,9.000,3.000,3.000,1.000,0.800,1.600,1657.807,1380.366,277.441,6.000,2.200,-0.600,teamA_win
2006-02-24,Kazakhstan,North Korea,friendly,true,1.000,7.000,0.600,1.600,1.400,1.600,1369.858,1559.003,-189.146,-6.000,-0.800,0.000,draw
2006-02-24,Guyana,Antigua and Barbuda,friendly,false,7.000,3.000,2.000,1.400,1.000,2.200,1326.245,1344.302,-18.058,4.000,1.000,-0.800,teamA_win
2006-02-25,Saint Kitts and Nevis,Saint Martin,friendly,false,3.000,2.000,0.400,3.200,0.800,4.800,1421.098,1420.618,0.480,1.000,-0.400,-1.600,teamA_win
2006-02-26,Benin,Equatorial Guinea,friendly,false,4.000,7.000,0.600,1.800,0.800,0.800,1408.323,1374.020,34.304,-3.000,-0.200,1.000,teamB_win
2006-02-26,Guyana,Antigua and Barbuda,friendly,false,10.000,3.000,2.400,1.400,1.200,2.200,1334.134,1336.413,-2.279,7.000,1.200,-0.800,teamA_win
2006-02-28,Bosnia and Herzegovina,Japan,friendly,true,9.000,9.000,1.000,0.400,2.200,0.800,1584.299,1843.040,-258.740,0.000,-1.200,-0.400,draw
2006-02-28,Algeria,Burkina Faso,friendly,true,2.000,7.000,1.000,2.400,1.600,1.200,1524.585,1493.176,31.409,-5.000,-0.600,1.200,draw
2006-02-28,Trinidad and Tobago,Iceland,friendly,true,10.000,3.000,1.000,0.800,2.000,2.600,1664.036,1444.679,219.357,7.000,-1.000,-1.800,teamA_win
2006-02-28,Finland,Kazakhstan,friendly,true,2.000,2.000,0.600,1.800,0.400,1.200,1572.883,1373.580,199.303,0.000,0.200,0.600,draw
2006-02-28,Romania,Armenia,friendly,true,12.000,4.000,1.800,0.400,0.800,1.600,1752.703,1407.758,344.945,8.000,1.000,-1.200,teamA_win
2006-02-28,Greece,Belarus,friendly,true,8.000,6.000,1.000,0.800,1.000,1.600,1730.692,1526.635,204.057,2.000,0.000,-0.800,teamA_win
2006-02-28,Azerbaijan,Ukraine,friendly,false,1.000,8.000,0.200,1.800,1.200,1.000,1319.634,1716.863,-397.230,-7.000,-1.000,0.800,draw
2006-02-28,Cyprus,Slovenia,friendly,false,6.000,4.000,1.000,1.600,0.800,1.600,1440.582,1569.833,-129.251,2.000,0.200,0.000,teamB_win
2006-03-01,Iraq,China,continental_qualifier,true,4.000,6.000,1.400,1.800,0.800,0.800,1583.501,1697.164,-113.664,-2.000,0.600,1.000,teamA_win
2006-03-01,India,Yemen,continental_qualifier,false,8.000,3.000,1.200,1.800,0.600,2.600,1406.374,1405.219,1.155,5.000,0.600,-0.800,teamB_win
2006-03-01,Iran,Costa Rica,friendly,false,9.000,9.000,2.200,0.800,1.800,1.200,1829.746,1722.363,107.384,0.000,0.400,-0.400,teamA_win
2006-03-01,South Korea,Angola,friendly,false,12.000,5.000,1.200,0.400,1.200,1.600,1747.382,1652.043,95.339,7.000,0.000,-1.200,teamA_win
2006-03-01,Taiwan,Syria,continental_qualifier,false,4.000,6.000,1.800,2.200,1.600,1.200,1206.563,1576.734,-370.171,-2.000,0.200,1.000,teamB_win
2006-03-01,Pakistan,United Arab Emirates,continental_qualifier,false,1.000,10.000,0.000,1.600,1.200,1.800,1172.811,1579.690,-406.879,-9.000,-1.200,-0.200,teamB_win
2006-03-01,Bangladesh,Hong Kong,continental_qualifier,false,7.000,5.000,0.400,1.400,2.200,2.200,1329.672,1393.761,-64.089,2.000,-1.800,-0.800,teamB_win
2006-03-01,Palestine,Singapore,continental_qualifier,true,6.000,8.000,1.000,1.400,1.400,0.800,1363.243,1482.763,-119.520,-2.000,-0.400,0.600,teamA_win
2006-03-01,Kuwait,Bahrain,continental_qualifier,false,6.000,3.000,1.400,1.400,1.200,2.000,1586.816,1572.250,14.566,3.000,0.200,-0.600,draw
2006-03-01,Oman,Jordan,continental_qualifier,false,7.000,8.000,1.000,1.200,1.200,0.400,1627.810,1598.426,29.384,-1.000,-0.200,0.800,teamA_win
2006-03-01,Portugal,Saudi Arabia,friendly,true,11.000,6.000,1.600,0.400,1.600,1.000,1826.868,1749.795,77.072,5.000,0.000,-0.600,teamA_win
2006-03-01,Qatar,Uzbekistan,continental_qualifier,false,10.000,11.000,1.400,0.600,2.000,0.600,1631.747,1677.720,-45.973,-1.000,-0.600,0.000,teamA_win
2006-03-01,Mexico,Ghana,friendly,true,9.000,3.000,1.400,1.200,0.400,1.200,1807.954,1633.515,174.439,6.000,1.000,0.000,teamA_win
2006-03-01,Tunisia,Serbia and Montenegro,friendly,false,10.000,10.000,1.800,1.000,1.200,0.600,1763.750,1664.313,99.437,0.000,0.600,0.400,teamB_win
2006-03-01,Spain,Ivory Coast,friendly,false,11.000,8.000,3.000,0.600,1.000,1.000,1826.666,1761.626,65.040,3.000,2.000,-0.400,teamA_win
2006-03-01,Senegal,Norway,friendly,false,3.000,3.000,1.000,1.600,0.400,1.800,1682.375,1667.663,14.711,0.000,0.600,-0.200,teamA_win
2006-03-01,United States,Poland,friendly,true,11.000,12.000,2.600,0.600,2.200,1.000,1851.619,1754.385,97.234,-1.000,0.400,-0.400,teamA_win
2006-03-01,Austria,Canada,friendly,false,5.000,7.000,1.200,1.200,0.800,1.000,1593.527,1599.739,-6.212,-2.000,0.400,0.200,teamB_win
2006-03-01,England,Uruguay,friendly,false,12.000,7.000,1.400,0.800,0.600,0.800,1854.502,1772.519,81.982,5.000,0.800,0.000,teamA_win
2006-03-01,Croatia,Argentina,friendly,true,7.000,6.000,1.000,0.800,1.400,1.000,1778.030,1829.794,-51.763,1.000,-0.400,-0.200,teamA_win
2006-03-01,Russia,Brazil,friendly,false,9.000,11.000,1.600,0.400,3.600,0.400,1666.194,1882.117,-215.923,-2.000,-2.000,0.000,teamB_win
2006-03-01,Wales,Paraguay,friendly,false,6.000,12.000,1.000,1.000,1.800,0.600,1511.512,1725.914,-214.402,-6.000,-0.800,0.400,draw
2006-03-01,Netherlands,Ecuador,friendly,false,10.000,4.000,1.600,0.600,0.600,1.400,1865.115,1699.545,165.569,6.000,1.000,-0.800,teamA_win
2006-03-01,Venezuela,Colombia,friendly,false,3.000,7.000,1.200,2.000,1.600,1.600,1541.731,1702.209,-160.478,-4.000,-0.400,0.400,draw
2006-03-01,Scotland,Switzerland,friendly,false,8.000,8.000,1.400,0.800,1.600,1.200,1633.640,1710.592,-76.952,0.000,-0.200,-0.400,teamB_win
2006-03-01,Northern Ireland,Estonia,friendly,false,7.000,7.000,1.200,1.200,1.400,1.400,1464.388,1449.749,14.639,0.000,-0.200,-0.200,teamA_win
2006-03-01,Luxembourg,Belgium,friendly,false,0.000,7.000,0.200,3.400,2.200,0.800,1023.799,1632.459,-608.661,-7.000,-2.000,2.600,teamB_win
2006-03-01,France,Slovakia,friendly,false,11.000,6.000,1.800,0.600,0.800,1.400,1887.275,1627.209,260.066,5.000,1.000,-0.800,teamB_win
2006-03-01,Italy,Germany,friendly,false,13.000,7.000,2.200,0.800,1.200,1.200,1825.400,1847.880,-22.480,6.000,1.000,-0.400,teamA_win
2006-03-01,Ireland,Sweden,friendly,false,7.000,6.000,0.800,0.600,1.200,1.000,1767.636,1787.714,-20.078,1.000,-0.400,-0.400,teamA_win
2006-03-01,Belarus,Finland,friendly,true,6.000,3.000,1.000,1.400,0.600,1.200,1523.095,1568.998,-45.904,3.000,0.400,0.200,draw
2006-03-01,Israel,Denmark,friendly,false,8.000,13.000,1.400,1.000,3.000,1.000,1669.699,1782.201,-112.502,-5.000,-1.600,0.000,teamB_win
2006-03-01,Romania,Slovenia,friendly,true,12.000,6.000,1.800,0.400,1.000,1.600,1754.514,1574.665,179.849,6.000,0.800,-1.200,teamA_win
2006-03-01,Albania,Lithuania,friendly,false,7.000,4.000,1.400,1.600,0.400,1.200,1498.645,1447.300,51.345,3.000,1.000,0.400,teamB_win
2006-03-01,Turkey,Czechia,friendly,false,12.000,12.000,1.600,1.000,1.800,0.600,1784.236,1845.643,-61.407,0.000,-0.200,0.400,draw
2006-03-01,Macedonia,Bulgaria,friendly,false,4.000,13.000,0.800,3.000,3.000,1.000,1448.763,1642.496,-193.733,-9.000,-2.200,2.000,teamB_win
2006-03-01,Greece,Kazakhstan,friendly,true,11.000,3.000,1.200,0.600,0.200,0.800,1734.232,1377.465,356.767,8.000,1.000,-0.200,teamA_win
2006-03-01,Cyprus,Armenia,friendly,false,3.000,4.000,0.400,1.800,0.800,1.400,1435.750,1405.947,29.803,-1.000,-0.400,0.400,teamA_win
2006-03-01,Malta,Georgia,friendly,false,3.000,4.000,0.800,2.200,1.200,3.000,1259.144,1487.107,-227.963,-1.000,-0.400,-0.800,teamB_win
